Date,Q_Cumecs,Rainfall_mm,PET_mm
2000-01-01,0.7764,0.1,0.72
2000-01-02,0.7808,1.0,0.72
2000-01-03,0.7302,1.1,0.72
2000-01-04,0.6917,1.38,0.72
2000-01-05,0.6984,3.62,0.72
2000-01-06,0.664,0.08,0.72
2000-01-07,0.6341,2.98,0.72
2000-01-08,0.6042,0.8,0.72
2000-01-09,0.5464,0.12,0.72
2000-01-10,0.5289,0.08,0.72
2000-01-11,0.5136,0.02,0.72
2000-01-12,0.4872,0.22,0.72
2000-01-13,0.4924,6.98,0.72
2000-01-14,0.5135,0.04,0.72
2000-01-15,0.5077,0.02,0.72
2000-01-16,0.5662,0.3,0.72
2000-01-17,0.516,0.08,0.72
2000-01-18,0.4764,0.56,0.72
2000-01-19,0.4524,0.14,0.72
2000-01-20,0.4295,0.18,0.72
2000-01-21,0.4406,5.76,0.72
2000-01-22,0.6156,2.78,0.72
2000-01-23,0.6079,1.58,0.72
2000-01-24,0.5751,0.0,0.72
2000-01-25,0.4825,0.0,0.72
2000-01-26,0.4317,0.08,0.72
2000-01-27,0.4239,0.2,0.72
2000-01-28,0.4446,2.82,0.72
2000-01-29,0.4276,1.72,0.72
2000-01-30,0.5051,4.0,0.72
2000-01-31,0.702,8.24,0.72
2000-02-01,0.6511,0.32,0.88
2000-02-02,0.5093,0.52,0.88
2000-02-03,0.4673,0.06,0.88
2000-02-04,0.4528,0.02,0.88
2000-02-05,0.4326,0.0,0.88
2000-02-06,0.4241,1.72,0.88
2000-02-07,0.405,1.28,0.88
2000-02-08,0.4133,1.76,0.88
2000-02-09,0.3693,0.9,0.88
2000-02-10,0.3369,0.3,0.88
2000-02-11,0.3316,1.12,0.88
2000-02-12,0.3178,0.74,0.88
2000-02-13,0.2983,0.28,0.88
2000-02-14,0.3054,0.14,0.88
2000-02-15,0.2972,0.58,0.88
2000-02-16,0.2685,0.68,0.88
2000-02-17,0.2663,1.46,0.88
2000-02-18,0.2918,3.06,0.88
2000-02-19,0.3092,0.54,0.88
2000-02-20,0.2897,0.96,0.88
2000-02-21,0.2901,0.0,0.88
2000-02-22,0.2697,0.0,0.88
2000-02-23,0.2631,0.12,0.88
2000-02-24,0.2411,0.16,0.88
2000-02-25,0.2191,0.7,0.88
2000-02-26,0.2207,0.64,0.88
2000-02-27,0.2315,1.78,0.88
2000-02-28,0.2585,0.72,0.88
2000-02-29,0.2277,0.62,0.88
2000-03-01,0.2103,1.7,1.29
2000-03-02,0.2278,1.78,1.29
2000-03-03,0.2234,1.92,1.29
2000-03-04,0.2545,0.66,1.29
2000-03-05,0.2629,0.06,1.29
2000-03-06,0.2461,0.14,1.29
2000-03-07,0.212,0.16,1.29
2000-03-08,0.1854,0.06,1.29
2000-03-09,0.1901,3.32,1.29
2000-03-10,0.2192,0.08,1.29
2000-03-11,0.1847,0.0,1.29
2000-03-12,0.1802,0.32,1.29
2000-03-13,0.178,1.48,1.29
2000-03-14,0.1774,1.28,1.29
2000-03-15,0.1664,0.0,1.29
2000-03-16,0.1537,0.0,1.29
2000-03-17,0.1473,0.06,1.29
2000-03-18,0.1374,0.0,1.29
2000-03-19,0.1354,0.0,1.29
2000-03-20,0.1352,0.0,1.29
2000-03-21,0.131,0.32,1.29
2000-03-22,0.1242,0.0,1.29
2000-03-23,0.2965,22.46,1.29
2000-03-24,0.4277,0.96,1.29
2000-03-25,0.2668,1.66,1.29
2000-03-26,0.2246,1.36,1.29
2000-03-27,0.2144,0.14,1.29
2000-03-28,0.1911,0.28,1.29
2000-03-29,0.182,0.38,1.29
2000-03-30,0.1772,0.0,1.29
2000-03-31,0.1882,5.72,1.29
2000-04-01,0.3744,18.08,1.46
2000-04-02,0.6638,14.1,1.46
2000-04-03,0.591,4.0,1.46
2000-04-04,0.5589,0.22,1.46
2000-04-05,0.7535,0.0,1.46
2000-04-06,0.6907,0.0,1.46
2000-04-07,0.586,0.36,1.46
2000-04-08,0.5419,0.02,1.46
2000-04-09,0.4657,0.0,1.46
2000-04-10,0.4321,1.76,1.46
2000-04-11,0.6058,16.76,1.46
2000-04-12,2.513,16.6,1.46
2000-04-13,2.3055,6.68,1.46
2000-04-14,1.4014,1.28,1.46
2000-04-15,1.0424,2.86,1.46
2000-04-16,0.9193,0.26,1.46
2000-04-17,0.8909,5.82,1.46
2000-04-18,0.8251,0.64,1.46
2000-04-19,0.7414,3.14,1.46
2000-04-20,0.6894,2.1,1.46
2000-04-21,0.6304,1.78,1.46
2000-04-22,0.685,4.98,1.46
2000-04-23,0.9115,12.56,1.46
2000-04-24,1.7768,19.98,1.46
2000-04-25,4.3537,26.16,1.46
2000-04-26,9.9592,36.32,1.46
2000-04-27,3.8934,0.2,1.46
2000-04-28,2.6645,0.14,1.46
2000-04-29,1.9162,0.0,1.46
2000-04-30,1.5635,0.0,1.46
2000-05-01,1.3543,0.0,2.58
2000-05-02,1.1097,0.1,2.58
2000-05-03,0.9983,0.0,2.58
2000-05-04,0.8895,0.0,2.58
2000-05-05,0.8063,0.0,2.58
2000-05-06,0.7389,0.0,2.58
2000-05-07,0.6778,0.0,2.58
2000-05-08,0.6239,0.0,2.58
2000-05-09,0.5755,0.0,2.58
2000-05-10,0.5418,0.0,2.58
2000-05-11,0.5055,0.0,2.58
2000-05-12,0.4929,0.0,2.58
